id,y_1999,y_2019
382,6.8,1.9
383,8.4,9.5
381,6.4,5.3
384,4.3,5.6
391,7.7,6.7
393,5.5,8.3
390,9.3,9.0
392,8.9,5.7
398,3.0,8.8
404,1.3,9.9
401,2.5,1.5
399,8.2,2.6
402,4.9,8.0
400,7.4,3.6
403,3.8,2.6
373,7.9,8.5
371,1.6,2.4
372,7.4,7.2
374,8.5,5.1
375,2.6,3.8
389,3.4,2.6
387,5.9,7.9
386,6.8,3.2
388,4.4,5.9
385,8.1,6.8
394,2.9,5.1
395,7.7,7.3
396,1.3,8.7
397,1.3,1.0
410,9.0,5.2
406,9.4,6.1
407,6.6,9.1
405,2.0,9.2
408,4.7,4.6
409,9.0,8.3
999,2.8,3.9
379,9.7,5.7
380,1.1,3.2
378,5.2,9.8
377,9.5,7.9
376,7.5,6.2
