id,y_1999,y_2010,y_2013,y_2014,y_2016,y_2018,y_2019,y_2020
382,633781,781092,881068,902880,1025397,1096436,995103,941241
383,248878,293876,315601,335749,408596,382267,469064,534826
381,74133,84451,87362,93082,102307,101921,112063,114021
384,202942,221819,194782,217768,236566,273025,283336,307419
391,216568,188488,179759,173217,158784,181120,187716,174783
393,397910,358520,403004,491589,514770,462614,515656,523459
390,549253,557158,603869,626861,672018,667360,741781,731575
392,321674,316540,330330,405727,427647,398615,418107,419221
398,88590,93755,102429,117009,122957,108327,110563,108968
404,40038,39255,41198,37718,38600,46285,51601,59633
401,96914,100833,103923,121651,147525,133021,120786,128001
399,556727,627046,644583,620237,643954,597262,711635,804241
402,377198,403311,431714,369886,398993,439128,493510,482305
400,120278,124883,137006,145957,145888,167102,156934,153456
403,5521,5485,5346,5633,5070,5040,4772,5164
373,568431,551380,555951,597387,536579,610424,687793,639740
371,201153,227488,240344,274438,324113,317988,307721,326699
372,70242,65073,63153,75792,82806,78204,77197,78843
374,115124,106740,104129,121818,118124,121397,136019,128789
375,155297,138964,133675,157696,164621,163228,161425,170341
389,277194,267248,302517,347754,405806,416591,372082,404711
387,129331,139291,145402,147717,158792,159275,162574,166049
386,613248,548655,558687,549953,573981,531226,495855,468585
388,504934,507741,583802,532731,597706,578932,599967,714409
385,90875,100587,118582,124734,139271,166633,197908,202761
394,45585,46989,49470,44693,42947,45542,47343,48647
395,93030,95338,116628,120992,141947,152348,173153,179831
396,41665,46704,46379,44123,48631,52075,53176,56361
397,97340,92035,98209,118641,128426,130953,127707,116237
410,49672,57043,63449,67543,68316,72755,78505,75970
406,354208,387069,384071,386069,424526,393670,439565,513327
407,106069,121960,125925,145584,170902,193752,182299,198312
405,101412,108119,126200,130646,139537,140254,156347,191546
408,63293,64179,73996,75778,89371,90714,84531,90714
409,49632,48969,45372,53778,62248,56975,58304,62013
999,843155,852738,934007,991603,1023713,1214098,1372422,1277406
379,187990,196037,230631,269516,261948,252071,250933,268544
380,83671,87717,89774,99126,113535,130176,134365,146731
378,699468,743406,756763,798413,823940,877349,976992,1051785
377,267567,236416,240201,247652,235595,230592,245054,268384
376,394552,454658,493914,456265,555954,523431,517708,522490
