id,y_1999,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
382,7441,8011,8430,8481,8611,8682,9112,10055,9659,10527
383,7643,7804,8690,8733,9851,10199,11214,12803,14311,16163
381,6531,7330,7911,8647,9756,11071,10593,10599,11532,13085
384,7558,7741,7551,8325,8680,9086,9091,9957,10923,11933
391,7295,8122,7817,8312,9277,8883,8532,8137,8465,9704
393,6004,6811,6598,6999,6976,8021,9072,9487,10572,11270
390,7682,7513,8100,9104,9398,10098,11511,11501,12295,12422
392,6247,6039,6576,6630,7104,8146,9090,10181,11615,11227
398,9669,9523,10404,10011,9605,11011,12202,13604,13169,13895
404,2909,3043,3325,3284,3533,3841,4416,5032,4927,5177
401,4303,4222,4642,4748,5413,5991,6603,6366,6218,6482
399,2582,2649,2568,2628,2870,2743,3090,3138,2986,2884
402,7545,7628,8648,9910,10689,11737,13355,14144,14895,15026
400,4528,5091,5614,5385,5453,6154,6384,6927,7371,8142
403,9672,10354,11564,12607,12412,14221,14139,14031,13932,14250
373,6983,6734,6572,7169,7413,7446,7520,8183,9123,9539
371,7381,7228,8138,8441,9179,9875,10523,12044,13284,15250
372,2445,2487,2677,2574,2822,3020,3331,3381,3462,3619
374,3116,3368,3315,3777,3679,3841,4095,4511,4401,4521
375,7702,7427,7658,7490,7557,8680,9205,9850,10504,10990
389,5376,5190,5279,5246,5050,5412,6035,5881,6407,7213
387,2898,3257,3126,3285,3456,3344,3352,3637,3964,3944
386,4217,4228,4235,4858,5111,5618,6229,6038,5741,6228
388,7667,7857,8627,9149,10330,10836,10560,10671,11383,11751
385,5590,5782,6037,6120,6915,7001,7118,6970,7549,7896
394,7462,8383,8138,8569,8395,8770,9903,11084,11734,11554
395,8128,7728,8708,8619,9670,10605,10481,10765,11743,13350
396,3441,3372,3826,3652,4103,4376,4344,4810,5151,5142
397,7031,7818,8189,7870,8410,8913,8994,8810,9175,9316
410,4821,4587,5211,5609,5635,5753,5941,6121,6100,6594
406,9422,9309,8930,10061,10774,10431,11586,12105,12201,13444
407,3812,4318,4491,4659,5234,5455,5398,5222,5848,6209
405,6706,7026,7328,7079,7167,8036,8601,8562,8295,8603
408,7790,8503,8908,9826,10923,10487,10342,11593,12090,13831
409,6039,6836,6546,6709,6442,6222,6639,6882,6709,7207
999,7566,7463,7254,8300,8514,9066,9722,9817,9912,9695
379,6210,6535,6471,6284,6844,7663,7527,7967,8854,9843
380,8853,9474,10469,11725,13071,13689,13073,13537,15266,17240
378,1627,1630,1669,1742,1958,2168,2433,2664,2630,2756
377,1285,1462,1533,1669,1837,1825,1954,2217,2397,2463
376,7623,8315,9052,8872,9310,10168,11382,12645,12456,13801
