id,y_1999,y_2011,y_2013,y_2015,y_2017,y_2019,y_2020
382,4408,4306,4875,5035,5394,6138,6946
383,2036,2048,2142,2201,2505,2696,2957
381,8226,8038,8399,9578,10586,10625,11197
384,3623,3901,4217,4664,4721,5021,5520
391,8177,9155,10161,10518,11395,11059,11885
393,7433,8263,9417,10516,10993,12234,12145
390,6829,6798,7585,8696,8592,8833,9447
392,6561,6535,6401,7111,7488,8329,9413
398,3014,3020,3030,3178,3061,3322,3670
404,3146,3072,2965,3137,3397,3242,3462
401,7240,7078,7915,7731,7399,8475,9110
399,3828,4186,4170,4051,4021,4309,4802
402,1712,1651,1884,1929,1968,1919,2159
400,2102,2006,2170,2274,2277,2428,2409
403,8528,8843,9716,10706,11710,12274,13128
373,5690,6366,6162,6312,6148,6922,7012
371,9369,9621,10903,11371,11126,12061,13831
372,1267,1222,1351,1434,1409,1468,1422
374,8619,9911,9430,9159,9860,9696,10339
375,5005,5130,5413,5968,6468,6150,6327
389,7382,8121,7982,9174,9292,10250,9782
387,2714,2812,3100,3332,3363,3771,3785
386,7808,7801,8119,8605,8880,8764,9905
388,6837,6523,6530,6457,6613,6450,6734
385,1553,1771,1924,2157,2220,2148,2284
394,8520,9571,10552,10705,10895,11561,11193
395,6091,5910,5924,6439,6664,6859,6699
396,6969,7192,7027,8072,7887,7591,7916
397,4067,3921,3896,3735,3695,3527,3863
410,5812,5940,6041,6895,6569,7397,7314
406,2865,2977,3048,3305,3615,4025,3894
407,7848,8515,9534,9992,11456,12378,13140
405,9966,11113,11042,12590,14325,13963,15214
408,3241,3173,3126,3252,3176,3138,3485
409,1625,1791,1804,2020,2206,2223,2423
999,2871,3255,3389,3649,3844,4145,4202
379,3656,3646,3944,3918,4442,4590,4684
380,2685,2894,3086,3333,3687,3769,3833
378,7678,7456,7269,7126,6938,6941,6687
377,8859,9006,9147,9948,10047,9911,9769
376,9993,9618,10769,11915,11975,13369,13123
