id,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
644,84,497,455,69,366,227,384
645,490,255,439,323,62,386,394
646,15,299,232,254,174,462,398
647,130,391,32,93,475,76,307
648,468,218,47,355,35,214,331
649,141,276,223,265,206,472,416
650,499,216,250,162,214,82,461
651,29,62,74,145,254,393,138
652,246,134,98,254,196,372,154
653,111,125,379,431,475,268,416
654,303,329,413,448,55,279,153
655,213,290,294,121,137,377,469
656,44,294,47,375,335,288,300
657,442,324,385,282,22,209,317
658,307,86,127,43,221,64,294
659,170,493,365,328,59,293,238
660,61,381,323,40,337,195,368
661,119,197,51,174,17,416,58
662,197,217,334,285,367,287,190
663,398,379,372,368,322,308,281
664,442,363,355,404,91,344,14
665,261,52,195,146,269,10,378
666,152,422,295,266,102,196,35
667,184,278,280,183,313,124,374
668,123,51,438,293,456,123,472
669,334,447,121,279,485,185,117
670,263,373,94,388,248,475,100
671,277,396,203,190,88,122,257
672,288,391,373,77,473,181,218
673,148,270,409,300,311,280,378
674,366,293,289,214,52,320,178
675,436,100,456,204,368,144,154
676,53,271,65,467,290,206,319
677,46,318,499,95,18,242,348
678,450,217,44,28,243,195,381
679,360,253,407,244,86,19,296
680,48,70,45,24,393,327,360
681,438,225,170,207,421,32,379
682,278,391,59,340,300,234,66
683,263,316,398,211,444,301,305
684,337,482,110,183,267,490,480
