id,y_1999,y_2013,y_2019
382,8819,9234,8832
383,6685,6992,6956
381,4346,4580,4911
384,6135,6148,6470
391,6566,6489,7387
393,7728,7390,7029
390,7229,7546,7944
392,2401,2365,2614
398,7217,7821,7546
404,6178,6814,7251
401,1977,2187,2494
399,4254,4313,4951
402,4269,4307,4111
400,2340,2429,2694
403,4383,4523,4954
373,2608,2572,2911
371,9709,10462,11704
372,5518,5835,5717
374,1756,1717,1728
375,6322,6794,7546
389,2285,2367,2680
387,7037,6718,6878
386,2427,2790,3094
388,2263,2470,2528
385,3206,3141,3045
394,7667,8332,8167
395,2908,3267,3467
396,6588,7456,7239
397,7894,8712,9572
410,2136,2084,2118
406,1173,1131,1203
407,6330,6069,6754
405,6127,6126,5958
408,9355,10593,10493
409,9182,9593,9496
999,6186,6229,6762
379,8265,9194,8751
380,9079,10332,11815
378,3002,3314,3525
377,1199,1341,1327
376,5328,5145,4887
