id,y_1999,y_2013,y_2019,y_2020,y_2021
382,2880,3133,3199,3260,3168
383,5105,5351,5377,5930,5939
381,4036,4595,5056,5756,5587
384,4331,4781,5214,5881,6305
391,2152,2131,2090,2112,2373
393,6268,6021,6605,6633,7511
390,2379,2443,2668,2597,2760
392,9498,9513,9914,9993,10202
398,5424,5594,5711,6285,6604
404,3196,3105,3237,3106,3111
401,4975,5132,4929,5273,5412
399,2029,2089,2171,2084,2131
402,3145,3323,3713,4265,4118
400,2985,3231,3466,3707,3581
403,5469,6049,6812,6720,7196
373,6073,6359,6929,6882,7837
371,2722,2727,2756,2678,2567
372,8345,7949,8645,9868,11122
374,5367,5158,5244,5891,6416
375,3713,3771,4139,4594,4536
389,8338,8735,9793,10131,10988
387,2504,2456,2405,2303,2283
386,2757,2859,3056,3457,3392
388,9073,9440,9761,11009,12344
385,7659,8493,8562,8826,9576
394,8837,8679,8527,8854,9774
395,7880,8715,9628,10961,11905
396,1740,1726,1672,1886,2129
397,9207,9578,10282,10928,11608
410,5046,5779,5772,6429,7337
406,4091,4326,4234,4144,4698
407,6735,6534,6859,7195,7773
405,7624,7919,9037,8757,10033
408,7481,7831,7951,8947,8874
409,7722,7770,7911,7807,7789
999,8890,9532,9262,9142,8748
379,7827,7683,8474,8755,8977
380,6623,7116,7736,7858,8451
378,9590,9259,9810,10279,10057
377,7082,7340,7771,8182,9342
376,1045,1199,1284,1471,1494
