id,y_1999,y_2019
382,4.1,8.1
383,5.2,4.3
381,5.6,4.5
384,9.1,7.7
391,6.1,4.7
393,5.9,2.0
390,2.8,3.5
392,5.0,9.0
398,4.2,3.4
404,1.1,1.1
401,6.5,2.2
399,2.3,3.6
402,1.1,2.4
400,1.9,9.4
403,1.5,1.4
373,7.5,4.4
371,4.7,3.5
372,9.8,9.3
374,2.3,1.5
375,6.3,10.0
389,9.2,7.5
387,6.2,7.5
386,5.3,3.2
388,2.4,7.4
385,4.6,1.6
394,8.6,6.2
395,1.9,8.1
396,5.7,7.9
397,1.0,8.3
410,5.6,1.4
406,4.2,6.7
407,2.9,7.4
405,7.5,4.4
408,6.5,3.2
409,1.3,9.0
999,4.0,1.2
379,1.0,6.5
380,4.0,6.4
378,6.4,5.5
377,2.3,6.1
376,7.8,4.3
