id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2020
644,186,298,285,65,262,283,97
645,358,464,416,251,360,112,56
646,128,343,469,60,416,456,94
647,329,68,456,441,253,387,264
648,365,485,479,352,66,476,337
649,420,138,391,294,245,50,99
650,486,111,74,191,425,268,34
651,71,96,358,354,83,425,346
652,486,15,324,460,222,327,382
653,37,30,273,251,205,452,288
654,430,431,353,166,305,121,78
655,403,378,356,414,451,328,330
656,364,223,255,422,448,191,201
657,218,400,428,87,365,361,165
658,65,151,329,177,259,281,440
659,255,271,235,151,433,56,274
660,189,203,447,58,436,116,206
661,59,354,264,215,470,384,86
662,127,463,293,376,256,119,286
663,83,160,225,132,188,206,356
664,317,48,167,469,388,189,163
665,29,56,181,189,73,250,51
666,280,242,455,449,269,446,353
667,310,332,127,124,107,274,12
668,483,477,73,380,330,289,255
669,371,410,291,277,399,182,428
670,368,35,233,86,268,254,54
671,394,65,377,172,369,34,29
672,480,136,309,365,485,111,76
673,34,279,158,344,83,95,442
674,134,488,196,270,78,33,472
675,77,132,226,190,136,424,384
676,422,83,27,356,159,228,428
677,185,303,242,383,187,425,38
678,235,88,207,132,121,390,202
679,72,415,226,172,477,88,126
680,145,103,377,169,42,444,443
681,340,195,92,35,432,392,105
682,289,67,269,470,47,315,413
683,402,92,410,157,339,179,356
684,458,404,121,412,169,140,352
