id,y_1999,y_2019
382,81089,91714
383,155132,152307
381,104203,113551
384,225942,254129
391,641255,653477
393,43147,49200
390,392821,414227
392,650969,605279
398,403977,415095
404,671224,746810
401,109392,122655
399,666390,709005
402,261066,277441
400,320696,376747
403,118002,133497
373,173037,169989
371,273988,280251
372,248396,305410
374,30685,34638
375,170837,187576
389,249391,234028
387,160279,164817
386,181646,179191
388,367384,432735
385,36480,37554
394,145716,155450
395,404883,467815
396,19068,18060
397,335622,349228
410,45773,51632
406,48015,51502
407,67571,74031
405,69988,63448
408,750961,799540
409,168547,173085
999,830161,837510
379,220513,199692
380,100040,98104
378,91670,102176
377,63472,63266
376,281840,279419
