id,y_1999,y_2012,y_2013,y_2019
382,4580,4588,4661,4452
383,1153,1316,1505,1527
381,7421,7564,8017,8510
384,1757,2006,2102,2070
391,4225,4491,4292,4424
393,1882,1875,2006,1921
390,8671,9878,9976,9517
392,6623,7098,7624,7968
398,3791,3725,4088,4518
404,5063,5112,5323,5620
401,9694,10985,12190,13382
399,6135,6481,6354,6557
402,5656,6469,6350,6559
400,1093,1131,1083,1116
403,2576,2757,3087,3053
373,3589,3914,4303,4430
371,8679,8853,9541,10408
372,7134,7792,7687,8065
374,7261,7619,8078,8984
375,3623,3968,4182,4622
389,3350,3204,3613,3490
387,4544,5171,5916,6517
386,3287,3426,3543,3684
388,7176,7549,7725,7584
385,4259,4424,4228,4555
394,4891,4957,4968,5491
395,5510,5427,5280,5474
396,8451,9471,9010,8763
397,9501,9587,9340,10140
410,1407,1464,1618,1857
406,7916,8392,8814,9768
407,7576,7924,9000,9479
405,5173,5739,5578,5396
408,2227,2173,2293,2446
409,5453,5469,5952,6046
999,6577,7305,7391,7984
379,4385,4317,4803,4733
380,4700,5092,5683,6300
378,5507,5679,5538,6173
377,8467,8488,9123,9410
376,6425,6208,6436,6222
