id,y_1999,y_2013,y_2019,y_2020,y_2021
382,219802,209172,193840,221102,252715
383,162056,153568,149504,147842,155549
381,56049,61115,69476,73101,65513
384,39394,42706,43546,45492,51295
391,457531,508421,595405,638941,753724
393,257490,294546,260236,283993,265714
390,125273,130658,120302,109951,116241
392,19152,23551,23363,24517,25971
398,128108,148266,163943,170621,186862
404,328890,299398,299473,317057,391946
401,744354,703257,724229,695725,632289
399,334781,360976,361492,430761,454208
402,378264,366810,392420,397736,369799
400,373664,405110,444789,485083,500414
403,219315,218131,229334,211431,216876
373,106030,94184,101639,108927,113632
371,331899,342031,357542,370150,417885
372,86786,91964,84644,80024,93587
374,47010,57977,67767,68546,77334
375,450799,480704,476265,459096,453492
389,95521,101303,105419,124305,144195
387,97641,115404,114608,117982,112058
386,14900,14580,15612,15176,13917
388,20653,21659,22215,25880,25445
385,89410,91628,85458,89959,89853
394,216525,225655,239850,258117,243419
395,585541,601631,612380,630070,634864
396,146817,145787,164545,172930,197537
397,698605,704397,677267,765546,870656
410,515930,475864,423135,439022,406679
406,618144,626553,676971,679201,669924
407,161571,179195,171745,200007,177817
405,229481,275905,327491,337249,324599
408,14014,17374,18339,19018,19994
409,37105,40791,45202,45535,46322
999,111803,121702,129639,138600,139113
379,545050,541692,621761,751739,740092
380,459569,434325,452878,467553,508117
378,38191,41550,43505,45423,46448
377,394247,408930,391485,396031,406166
376,155664,152029,178420,188962,195135
