id,y_1999,y_2019
382,6.1,5.6
383,7.9,7.0
381,1.9,4.9
384,8.1,4.2
391,4.3,3.3
393,2.3,8.1
390,5.7,8.8
392,1.6,3.4
398,2.5,7.8
404,9.6,4.3
401,5.6,3.4
399,5.3,6.8
402,9.4,8.5
400,7.2,3.4
403,3.2,10.0
373,6.7,6.4
371,3.0,8.4
372,2.9,6.1
374,3.2,5.1
375,7.2,7.6
389,9.8,8.2
387,3.1,2.9
386,7.5,7.0
388,6.1,8.5
385,1.1,7.5
394,8.5,6.3
395,9.1,7.4
396,2.0,3.6
397,5.9,1.9
410,6.5,8.9
406,5.9,5.9
407,2.7,1.8
405,8.9,2.0
408,9.3,5.4
409,7.0,2.5
999,8.0,8.6
379,4.2,4.0
380,1.1,2.6
378,2.2,5.0
377,2.8,5.0
376,9.8,6.9
