id,y_1999,y_2016,y_2017,y_2018,y_2019,y_2020
382,78997,89085,96938,109089,117970,111931
383,874371,1003017,992057,1010136,1098043,1178166
381,88543,97666,102626,123996,137718,139030
384,56117,51293,46498,48049,43992,43726
391,336603,378998,405258,469884,461568,465348
393,806773,896287,991602,996558,1032272,1045683
390,280265,336009,362623,382254,425926,480017
392,61552,61136,62611,56954,53318,54052
398,300627,366442,424190,423946,405555,457735
404,533089,496207,538509,562619,558795,639485
401,174692,203884,205193,216767,260001,259941
399,275298,287552,330698,343669,355646,423614
402,327191,324848,385945,366878,396535,432304
400,99454,120539,147146,134843,134042,125082
403,67997,70662,76612,77950,87334,95049
373,96534,99637,115961,111891,123426,130027
371,6066,6598,5940,7125,6986,8108
372,333986,319339,312568,279596,292029,293223
374,441157,408538,483272,508508,462565,493749
375,134855,135947,134539,126239,132631,135664
389,418829,432572,481872,507548,532903,544606
387,169625,189709,193440,187382,200077,205837
386,101974,120147,133339,127284,141822,152554
388,238765,242440,237062,265574,294238,331177
385,191056,204334,201312,210356,209169,214299
394,88513,103623,125490,124350,127561,136946
395,350593,356999,339985,348221,395537,414913
396,448457,423519,431001,467694,418238,494408
397,286903,307721,308307,341458,348398,388332
410,70781,75755,72580,77134,80771,82176
406,21556,19446,19540,18440,19748,22085
407,526237,542808,598317,620531,609885,665738
405,78094,91234,94880,94055,104387,119836
408,106533,122826,122341,117879,114376,127805
409,374262,392429,415715,399700,410341,380030
999,153879,134768,153860,162956,160156,173483
379,780324,803190,821473,1006615,1128216,1288651
380,338468,364245,383425,396409,427027,445894
378,23310,25303,25287,23347,22614,21890
377,403793,452309,432637,530252,608868,607520
376,403013,458075,501816,534379,505369,601458
