id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021
644,297,497,482,255,385,165,395,442
645,441,103,341,491,332,247,388,99
646,454,140,180,59,131,465,243,192
647,467,233,296,430,335,25,47,116
648,346,467,498,213,468,402,267,354
649,187,85,84,251,163,136,149,354
650,321,45,248,335,275,122,427,365
651,421,213,89,364,61,125,431,375
652,223,353,494,455,230,309,161,328
653,386,469,119,286,484,212,474,17
654,222,476,77,405,321,289,377,456
655,118,263,172,158,361,499,259,268
656,129,310,183,468,20,358,489,326
657,23,16,495,10,217,386,222,162
658,318,364,383,491,205,102,481,488
659,261,174,302,484,284,243,190,332
660,252,199,485,423,103,195,466,197
661,103,44,223,117,116,165,297,280
662,433,285,185,124,354,15,47,362
663,243,45,52,257,468,477,43,426
664,278,381,83,381,23,386,17,182
665,79,118,403,428,384,498,374,209
666,27,93,101,300,104,85,236,338
667,122,92,291,416,199,468,82,206
668,225,430,127,493,140,55,345,451
669,444,121,157,445,304,102,173,37
670,164,377,480,225,70,256,242,317
671,215,266,131,48,406,330,120,466
672,190,380,494,175,496,495,497,116
673,320,33,205,365,166,284,31,85
674,173,499,413,494,364,126,263,460
675,315,44,309,120,379,233,190,264
676,324,317,117,385,473,410,178,479
677,24,488,427,343,99,463,320,418
678,489,493,471,214,414,249,139,436
679,385,25,371,42,183,294,474,119
680,195,224,282,453,414,206,133,99
681,164,276,489,238,330,298,296,131
682,102,195,107,405,156,151,135,358
683,200,264,139,344,444,219,285,30
684,238,311,313,78,463,65,473,298
