id,y_1999,y_2019
382,19024,21361
383,292378,319386
381,118056,119529
384,63759,69189
391,273078,294758
393,418040,413809
390,145014,155613
392,134763,153576
398,495967,542076
404,154809,160992
401,267881,287882
399,314349,319268
402,213641,227122
400,144260,127003
403,56884,69958
373,55057,55248
371,73853,84488
372,232861,250375
374,142913,171605
375,262116,295836
389,106036,97522
387,322248,318094
386,100545,102204
388,478880,475100
385,102579,101645
394,163702,168321
395,516046,562505
396,40276,44239
397,311863,339619
410,132882,143109
406,110944,115384
407,528250,530386
405,124190,138400
408,80534,93486
409,189721,208154
999,119336,123144
379,506325,605073
380,104822,106712
378,32947,36704
377,41054,42977
376,321316,358192
