id,y_1999,y_2000,y_2010,y_2019,y_2020
382,146085,128454,114228,131755,141919
383,36385,41710,45833,48044,49397
381,272650,256812,259161,299611,277792
384,322323,338269,346877,376110,381493
391,706296,827435,847970,1060015,998340
393,62126,65123,69060,73746,86492
390,63228,65919,64132,67867,75288
392,113205,119785,114862,124336,133909
398,446354,513769,529375,598282,585503
404,557797,618193,565650,626895,613822
401,378995,403941,377813,353847,351357
399,269872,272038,255494,293317,330421
402,245798,259282,299980,310157,329093
400,636015,650099,681596,632608,629638
403,348062,361866,390337,379092,403016
373,21418,23782,26841,29657,30120
371,328270,368713,391909,388479,430532
372,43317,50946,58774,59763,53212
374,452594,471643,539615,571048,533386
375,76440,85658,97471,97132,113000
389,479424,493205,484088,544289,496400
387,328240,358199,385956,462222,449028
386,467785,449371,416071,395763,471973
388,58993,52815,64117,70375,78741
385,635195,629027,660798,703673,775870
394,142534,126881,131021,137374,137661
395,175453,172220,190916,210600,197602
396,65666,57563,67445,72354,67611
397,105886,103128,98347,121097,127572
410,155584,171994,195217,209872,190477
406,726611,757138,822938,864628,991577
407,241945,213762,207117,204842,213569
405,7969,8298,7708,7484,7199
408,62710,62899,64648,58704,57976
409,22198,22070,21939,26824,28166
999,790419,886366,932496,907137,993871
379,129128,134642,139618,132252,125208
380,213256,247013,233544,241269,282668
378,416712,422739,470537,587622,665873
377,556872,589016,615591,623364,639040
376,152994,149074,167284,159302,165279
