id,y_1999,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
382,9597,9190,9375,9372,10551,10499,10342,10267
383,9641,9220,9564,10203,10915,10407,10596,12105
381,3986,4256,4051,4453,5089,5843,6116,6719
384,4517,4291,4322,4203,4250,4251,4888,5305
391,6157,6081,6486,7209,7547,8334,8789,8646
393,7569,7879,8598,8539,9018,9953,10605,10554
390,3510,3927,4475,5092,5549,6195,6401,6925
392,8991,10208,10012,10036,10601,11142,12061,12199
398,6037,6298,6238,6773,6878,7040,7377,7056
404,7786,7703,7543,7334,8298,8229,8536,9155
401,8181,8627,9488,10079,9805,11025,11202,12618
399,4067,4020,4539,4798,5515,5995,6092,5942
402,2180,2233,2295,2537,2558,2510,2460,2531
400,7881,7951,8216,9122,9142,10255,10027,11219
403,5248,5397,6105,6024,6185,6078,6299,6778
373,3239,3322,3557,3601,3921,4108,4455,4295
371,1921,2094,2402,2287,2323,2515,2875,3118
372,6887,7886,8160,8511,8862,8662,8249,8515
374,1746,1945,2222,2416,2769,2839,3148,3374
375,3964,4342,4610,5263,5497,5611,6090,6177
389,8479,8550,9407,9521,9069,9361,9753,10645
387,8904,9888,10194,10668,10253,9989,11012,11353
386,3136,3337,3289,3351,3710,3535,3486,3938
388,2721,2807,2909,3104,3503,3504,3978,4311
385,7023,6728,7221,7759,7637,7328,8410,8731
394,4209,4835,5469,5346,5788,6567,7255,8194
395,5168,5208,5445,5882,6422,6274,6026,6027
396,6689,7408,7995,7921,7704,8741,9646,10955
397,7070,7548,7524,7687,7515,8473,9236,10210
410,6350,6341,6605,6295,6554,6593,7035,7647
406,1277,1418,1489,1613,1681,1625,1554,1664
407,8092,8819,10025,10921,11932,11483,11144,12691
405,4527,4579,4893,5026,4917,5425,5788,5730
408,4457,4955,5018,5138,5891,6684,7036,7631
409,3219,3447,3844,3935,4153,4142,4205,4006
999,4704,5062,5373,5117,5445,5913,6506,6941
379,3413,3299,3671,3861,4421,4600,4567,5195
380,7015,7729,7368,7327,8109,9274,10046,9548
378,7328,8185,8344,8003,7869,8357,8171,8142
377,9713,9325,10696,11810,11786,12131,12403,11788
376,9044,9172,9321,10002,11346,10956,12587,13783
