id,y_1999,y_2017,y_2018,y_2019,y_2020,y_2021
382,4548,4822,4845,4633,4850,5317
383,6483,7201,8222,8868,10075,9847
381,7358,7647,8079,8027,8232,8024
384,1438,1620,1660,1890,1882,2060
391,8976,10050,10398,11884,13458,14886
393,7622,7402,7743,8371,8434,9438
390,5593,5984,6304,6361,7119,7570
392,2308,2295,2317,2361,2688,2759
398,7406,7753,8811,9343,8963,10285
404,8159,7904,8583,8497,8728,9202
401,6366,6070,5802,5964,6639,6740
399,4096,3979,4021,4041,4054,4307
402,9195,10437,10520,10494,10702,11718
400,3540,4052,3963,4090,4178,4112
403,3247,3526,3454,3337,3644,3593
373,4883,5058,5141,5470,5656,6405
371,8699,9619,10324,10851,11605,11998
372,8910,9439,9839,9932,11025,11939
374,1570,1561,1516,1449,1391,1482
375,7320,7212,8026,7690,8125,9112
389,1040,1001,1121,1144,1304,1301
387,7857,7938,8515,9408,10294,11085
386,3178,3221,3135,3174,3478,3885
388,8111,8925,10001,10521,10799,10631
385,1023,985,1042,1080,1175,1148
394,7643,8221,8784,9689,10528,12088
395,6069,6463,6338,6339,6726,6971
396,8809,8928,9017,9137,10020,11092
397,1110,1229,1292,1242,1286,1351
410,4408,4871,4883,5285,5811,5631
406,6556,7021,6889,7104,7376,7047
407,1167,1285,1439,1376,1384,1439
405,7306,8287,9452,10291,11233,11448
408,9572,9153,9047,10294,11297,11989
409,3536,3447,3597,3728,3707,3922
999,4190,4403,4494,4804,4857,4626
379,8992,9683,10663,11839,11617,11692
380,3788,4308,4410,4973,5214,5820
378,9339,10250,11487,11547,11510,11425
377,6822,7496,7700,8344,8560,9096
376,5646,6286,6105,6368,6919,7208
