id,y_1999,y_2019
382,1929,2073
383,6196,6616
381,9440,10766
384,1897,1811
391,8509,8144
393,5582,5331
390,4349,4758
392,6899,6665
398,2651,2691
404,9558,9508
401,1768,1734
399,3368,3429
402,4235,4509
400,7627,7899
403,2571,2651
373,5395,5719
371,9274,9796
372,5252,5164
374,8884,10008
375,6065,6440
389,1656,1895
387,7129,7661
386,5084,4929
388,9907,9420
385,8467,8327
394,6659,7441
395,2133,2226
396,8238,8217
397,6397,6655
410,9077,10097
406,7741,8029
407,2520,2891
405,6347,6156
408,6347,7095
409,2117,2281
999,2957,3040
379,1043,1088
380,8376,9089
378,3788,3836
377,3696,4016
376,3889,4013
