id,y_2013,y_2015,y_2016,y_2017,y_2018
644,211,147,500,319,273
645,33,378,213,415,382
646,198,55,14,423,149
647,10,172,384,351,234
648,222,295,470,431,32
649,198,95,100,117,254
650,59,239,388,480,89
651,462,432,214,175,449
652,166,199,11,74,259
653,225,10,162,414,166
654,438,168,489,287,438
655,50,143,151,86,243
656,389,468,84,18,330
657,342,88,234,490,183
658,57,154,285,236,277
659,320,320,274,358,370
660,176,46,221,144,61
661,422,259,350,337,73
662,417,428,322,71,414
663,118,348,324,303,176
664,399,360,275,109,139
665,452,247,353,137,93
666,21,313,329,419,492
667,69,294,84,66,336
668,183,194,77,39,103
669,357,175,500,115,55
670,87,456,139,485,88
671,56,446,53,16,476
672,174,156,377,28,490
673,337,417,274,237,75
674,338,22,144,438,363
675,206,162,139,223,154
676,417,254,401,306,370
677,255,213,204,368,367
678,308,210,358,175,464
679,425,414,250,130,113
680,255,69,470,447,459
681,60,105,301,228,42
682,379,236,194,206,447
683,424,211,133,429,83
684,320,77,336,450,268
