id,y_1999,y_2019
382,4537,4797
383,6367,6620
381,7160,7160
384,5108,5072
391,6041,6886
393,9822,9729
390,6310,6392
392,1843,2075
398,5125,5594
404,3160,3518
401,3730,3753
399,7350,7905
402,9009,8776
400,7779,7572
403,6534,7357
373,1538,1588
371,1313,1371
372,9346,9828
374,3107,3425
375,5259,5684
389,1068,1025
387,3389,3644
386,1165,1283
388,8887,8865
385,2864,2908
394,2763,2760
395,5988,6460
396,2058,2189
397,8695,9638
410,2136,2431
406,1204,1302
407,7974,7640
405,2614,2990
408,2008,2243
409,3274,3592
999,2158,2402
379,7219,7941
380,1177,1200
378,5674,6471
377,7860,7491
376,4681,4835
