id,y_1999,y_2000,y_2010,y_2019,y_2020
382,44873,48207,58172,59838,62639
383,547377,643353,757401,900301,940067
381,58782,51017,55567,57630,57823
384,86282,88756,100875,94773,106170
391,275215,312285,319302,317767,334923
393,563757,586418,650441,675861,705900
390,320246,326282,313839,324089,350356
392,173116,211269,221394,233679,282877
398,835069,947956,955741,1080462,1075685
404,22634,26765,26937,30626,31568
401,380400,396524,395884,434830,412452
399,300292,362133,436417,515786,518113
402,397262,425496,463197,493936,565984
400,382111,363702,349310,342985,359466
403,396164,413247,433493,423649,445566
373,436064,438639,420821,393220,394653
371,97181,98076,89509,80331,81945
372,207253,218172,229392,277885,321196
374,307900,304223,286668,278879,266015
375,455265,401700,400732,445683,430760
389,65369,76002,82029,71215,86224
387,846057,831863,918215,905377,923217
386,112596,117236,118519,115819,136086
388,153606,177801,184633,179665,170945
385,39421,44868,41531,43848,42450
394,465801,442055,461059,523832,569088
395,185276,185531,197564,243992,297406
396,9599,10032,10642,12644,14242
397,159074,158713,159004,161189,142207
410,706939,852697,1046585,1169689,1272104
406,122005,150022,176879,185954,208894
407,767778,793741,895959,1030453,1077463
405,128553,134338,136409,142661,127571
408,650281,684624,668049,741763,745591
409,250823,301244,349823,374813,351523
999,407331,437881,471382,466335,472618
379,139400,152282,172816,184857,213171
380,448970,412783,466930,466189,459031
378,103110,90331,90756,91566,105207
377,402657,451493,513910,504703,587092
376,373768,442130,510459,554112,492312
