id,y_1999,y_2019
382,73189,83363
383,36120,44037
381,328234,341666
384,616625,654582
391,106965,107806
393,857905,977488
390,657583,673300
392,723222,652492
398,835390,1002673
404,283139,269864
401,280706,267539
399,477979,459746
402,713653,764491
400,213610,252615
403,151083,181753
373,131104,143622
371,404307,419593
372,596830,641686
374,158313,165541
375,196042,203443
389,92748,93244
387,159218,199359
386,100632,101386
388,147306,151643
385,343622,347979
394,422156,464865
395,24540,23043
396,215254,223943
397,323771,336011
410,89295,103863
406,325443,368098
407,790189,808425
405,113541,99948
408,59601,59969
409,121774,119712
999,414124,454554
379,608622,701595
380,556745,589623
378,311053,339391
377,184755,183224
376,453899,495499
