id,y_1999,y_2015,y_2019
382,1786,1802,1741
383,3814,3601,3550
381,572,606,677
384,2064,2224,2055
391,2006,2402,2779
393,1371,1608,1832
390,2722,3199,2984
392,2261,2194,2415
398,1939,2232,2462
404,1640,1925,2023
401,4550,5405,4910
399,3166,3131,3168
402,2624,2563,2878
400,2682,2648,2456
403,1510,1603,1451
373,3969,4272,4740
371,796,778,728
372,3398,3822,4335
374,1545,1739,1593
375,4949,4730,5667
389,4333,4240,4403
387,2970,3332,3786
386,1247,1412,1472
388,3667,3393,3701
385,988,1168,1349
394,4407,4571,5055
395,979,1151,1109
396,652,715,838
397,2460,2742,2825
410,2606,2781,3059
406,4493,4474,5332
407,1230,1371,1244
405,4454,4183,4428
408,711,734,702
409,2110,2117,2295
999,4511,4833,4525
379,591,597,683
380,3300,3273,3145
378,1088,1151,1038
377,4369,4193,4588
376,539,546,626
