id,y_1999,y_2019
382,6665,6791
383,9941,10645
381,9634,9918
384,3750,3950
391,6562,6422
393,8022,8729
390,9129,9397
392,2717,2861
398,8395,9601
404,1435,1590
401,9336,8905
399,8194,8021
402,6968,7241
400,6686,6777
403,2658,2979
373,5694,5887
371,1626,1714
372,1943,2208
374,4224,4383
375,1077,1214
389,3539,3558
387,8945,8522
386,4209,4833
388,8874,9184
385,1522,1665
394,5511,5477
395,3543,3599
396,6125,6429
397,5140,5847
410,7373,8409
406,6751,6592
407,3026,3308
405,8698,8638
408,2127,2163
409,4895,4847
999,7734,8227
379,9117,10283
380,7153,6802
378,9972,10607
377,3965,4372
376,6247,6028
