id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2021
644,33,414,257,268,391,294
645,218,418,109,268,333,56
646,94,166,210,140,390,146
647,168,170,157,278,455,379
648,45,461,101,153,412,406
649,297,479,494,325,252,305
650,259,440,16,209,224,224
651,263,329,338,13,39,179
652,348,153,451,171,266,490
653,156,412,314,438,231,350
654,47,33,335,470,104,127
655,192,471,428,36,201,404
656,135,381,165,287,139,397
657,407,136,222,167,469,411
658,464,369,132,498,129,431
659,66,273,368,25,289,128
660,168,412,120,36,344,378
661,80,258,373,155,378,448
662,94,305,288,225,295,185
663,27,253,308,479,239,246
664,417,359,383,255,232,224
665,388,500,436,256,31,65
666,12,243,264,355,339,132
667,349,177,162,258,91,333
668,374,304,448,191,458,465
669,365,321,98,403,435,419
670,428,207,24,295,227,467
671,183,129,57,74,357,139
672,458,97,293,61,307,160
673,176,64,188,213,308,178
674,484,262,283,474,111,228
675,168,470,277,309,341,314
676,112,72,384,466,109,433
677,359,347,51,500,50,204
678,444,280,17,116,133,331
679,126,171,289,189,471,191
680,446,273,48,60,244,447
681,363,256,406,258,412,205
682,326,21,36,451,330,63
683,156,413,323,76,51,193
684,411,186,294,208,144,189
