id,y_2013,y_2015,y_2016,y_2017,y_2018
644,310,36,97,171,220
645,153,33,377,233,94
646,378,109,310,38,127
647,284,96,235,180,395
648,306,96,479,230,218
649,469,289,175,187,360
650,307,102,148,383,24
651,252,333,204,197,289
652,262,251,162,498,415
653,384,125,89,347,214
654,175,393,390,136,269
655,462,475,233,75,371
656,439,243,348,297,219
657,403,211,140,228,251
658,323,113,423,492,116
659,267,148,22,270,341
660,285,373,321,294,211
661,268,373,302,405,15
662,24,290,481,91,139
663,488,457,64,247,357
664,434,285,192,367,443
665,191,404,393,279,328
666,87,107,173,334,171
667,243,245,163,176,180
668,203,252,78,354,419
669,262,416,87,194,219
670,277,349,385,377,347
671,414,35,184,375,214
672,200,164,62,181,491
673,383,207,252,327,119
674,345,229,135,471,225
675,19,33,33,394,186
676,441,357,325,410,362
677,182,436,269,50,38
678,322,428,333,27,361
679,287,211,86,421,416
680,105,282,489,467,179
681,490,198,108,221,131
682,99,298,328,57,294
683,100,418,153,448,202
684,255,58,392,319,482
