id,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
644,342,65,27,354,100,498,348,162
645,464,463,335,366,410,370,163,338
646,410,299,189,366,278,440,83,437
647,210,351,36,325,341,97,116,191
648,38,100,112,51,89,456,132,142
649,123,227,206,151,218,479,430,397
650,392,361,489,146,265,352,209,499
651,451,411,414,159,123,82,121,129
652,143,485,200,369,336,499,377,96
653,224,482,388,152,181,424,265,489
654,112,500,422,296,222,346,54,464
655,95,199,277,212,251,232,493,431
656,160,40,139,240,130,338,345,132
657,114,473,63,139,77,184,462,228
658,196,225,86,30,282,247,307,205
659,192,283,222,12,438,230,477,165
660,297,28,482,197,51,150,148,327
661,106,244,470,80,415,241,74,206
662,186,405,445,459,327,472,19,197
663,182,440,340,401,462,443,260,479
664,177,64,411,245,190,436,122,264
665,465,311,17,67,77,270,460,363
666,246,100,423,106,152,327,296,15
667,165,386,466,58,57,121,324,464
668,340,132,155,319,118,260,379,335
669,110,204,377,55,241,154,12,267
670,187,50,105,479,358,198,68,293
671,400,68,189,400,463,178,149,261
672,188,466,287,430,456,406,377,241
673,193,184,495,207,419,455,450,270
674,370,490,352,467,148,110,334,156
675,348,473,138,443,407,232,467,48
676,172,295,250,49,252,338,299,218
677,10,86,280,366,325,397,435,223
678,420,314,68,379,292,375,28,93
679,76,465,385,374,25,95,126,254
680,196,29,205,49,360,12,414,309
681,414,376,227,166,172,445,206,497
682,342,370,387,75,400,451,426,337
683,435,176,125,348,81,317,33,163
684,153,80,109,157,144,348,17,318
