id,y_1999,y_2000,y_2010,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
382,8005,7781,8638,8543,8728,9460,9707,9724,10360,11467
383,4594,5112,5046,5284,5709,6375,7315,7961,8527,8552
381,8471,8506,8250,8739,9805,10983,11042,11756,12167,13123
384,5141,5103,5630,5816,5653,6122,6263,6531,7340,7869
391,6423,7292,7009,7580,8119,7995,7652,8180,9298,9004
393,4223,4083,4658,4687,4955,5631,5464,5491,6030,6682
390,8491,8495,9461,9859,10040,11123,12470,14110,14484,15243
392,5632,5783,5830,6151,6920,7044,6802,6952,7826,7920
398,8164,9286,10432,11488,13144,14501,14370,13751,14753,16513
404,4081,4250,4044,4539,4462,4405,4874,5310,5863,6634
401,7088,8053,8903,10080,9621,10989,12446,12266,13289,14841
399,3720,3692,3782,3651,3659,3518,3426,3462,3922,4449
402,4410,4259,4675,4662,4528,4535,4995,5320,5073,5648
400,8205,8004,8982,8685,9617,10386,10482,10364,11586,11279
403,4317,4481,4594,4567,4911,5462,6271,6289,7117,7290
373,1203,1370,1403,1499,1688,1645,1805,1905,2003,2208
371,4902,5422,5641,6313,6243,6358,6404,6899,6883,6840
372,6721,7071,7298,6998,6940,7631,7889,7587,7868,8146
374,8655,9074,9639,10155,11154,11361,12174,11998,12332,13899
375,2931,3227,3694,4055,4247,4220,4167,4107,4036,4031
389,5503,5236,5729,6117,6245,5970,5878,5831,6112,6396
387,5539,5663,6210,6724,6879,7769,8757,8678,8771,9178
386,8017,8361,8756,9939,10970,11530,13131,14137,15662,16209
388,3161,3206,3253,3208,3056,2986,3077,3446,3414,3250
385,2092,2290,2507,2551,2627,2595,2685,2823,2864,3009
394,5123,4874,4757,4770,4892,4802,5324,5517,5601,6405
395,4528,4568,4814,5258,5590,5709,5515,5842,6083,5999
396,8717,9617,9498,10301,9991,10729,10436,11565,13245,14583
397,2573,2905,3014,3346,3198,3435,3527,3413,3560,3637
410,5546,6122,6433,6982,7935,7866,8855,9455,10102,11057
406,6419,6331,7011,7046,8066,8411,8845,8716,8624,9041
407,2025,2094,2342,2476,2543,2586,2670,3010,2890,2887
405,1076,1130,1191,1330,1525,1458,1532,1675,1681,1710
408,9955,9533,9277,10668,10398,11073,11596,11834,11765,12799
409,2112,2028,2201,2507,2623,2732,3108,3345,3531,3472
999,6738,7515,8479,9177,10068,10282,10243,10527,11487,11597
379,6289,6564,6288,6031,6470,6713,6918,7528,8472,9699
380,7492,8237,8670,8243,8784,8384,9021,9734,9709,9877
378,6029,6470,7154,6983,7084,7880,8837,9866,9975,10803
377,1785,1769,2028,2277,2315,2582,2538,2559,2749,3154
376,5907,6740,7319,7414,8174,9231,9528,9691,9962,10661
