id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021
644,170,87,442,126,123,209,340,43
645,373,153,462,478,143,283,112,158
646,405,141,163,444,90,284,466,76
647,215,341,231,60,244,97,442,110
648,338,283,485,239,107,139,247,196
649,65,491,382,142,305,463,432,77
650,165,451,344,326,258,51,482,268
651,226,381,427,134,412,454,42,31
652,492,440,251,304,400,450,385,214
653,164,186,200,447,86,271,155,28
654,193,270,315,93,437,445,95,274
655,271,247,250,43,105,361,44,414
656,83,69,474,45,404,415,189,283
657,470,26,422,178,236,385,142,191
658,75,400,416,406,168,436,323,306
659,53,432,350,277,491,282,458,134
660,272,406,368,259,66,273,484,437
661,80,180,218,393,244,335,350,28
662,286,97,308,381,136,397,211,313
663,288,340,249,383,122,10,218,460
664,444,138,238,144,352,120,40,452
665,84,235,154,447,239,290,76,43
666,486,428,133,198,292,145,450,496
667,100,18,180,291,491,148,403,147
668,93,249,209,309,232,73,450,418
669,377,101,125,230,432,382,178,274
670,378,81,135,389,178,161,198,442
671,448,63,492,391,360,157,431,392
672,84,164,168,368,221,10,492,263
673,276,73,164,268,486,181,489,209
674,475,347,334,256,310,282,98,499
675,437,212,24,323,21,267,228,455
676,410,89,182,375,64,294,482,84
677,179,369,58,181,394,434,397,293
678,96,120,25,393,401,173,174,462
679,325,296,382,246,353,335,316,498
680,69,41,227,326,352,310,366,224
681,318,430,186,98,399,435,120,74
682,53,242,32,355,26,407,67,198
683,259,109,217,346,271,426,455,55
684,174,434,131,74,419,152,42,321
